city,datetime,timezone,discharge,gauge_lvl
Mount Vernon,2020-02-04 10:30,PST,31800,20.4
Mount Vernon,2020-02-04 10:45,PST,31600,20.36
Mount Vernon,2020-02-04 11:00,PST,31600,20.35
Mount Vernon,2020-02-04 11:15,PST,31500,20.33
Mount Vernon,2020-02-04 11:30,PST,31500,20.31
Mount Vernon,2020-02-04 11:45,PST,31300,20.27
Mount Vernon,2020-02-04 12:00,PST,31300,20.25
Mount Vernon,2020-02-04 12:15,PST,31200,20.22
Mount Vernon,2020-02-04 12:30,PST,31100,20.19
Mount Vernon,2020-02-04 12:45,PST,31000,20.18
Mount Vernon,2020-02-04 13:00,PST,30900,20.14
Mount Vernon,2020-02-04 13:15,PST,30900,20.13
Mount Vernon,2020-02-04 13:30,PST,30800,20.1
Mount Vernon,2020-02-04 13:45,PST,30700,20.07
Mount Vernon,2020-02-04 14:00,PST,30600,20.06
Mount Vernon,2020-02-04 14:15,PST,30500,20.03
Mount Vernon,2020-02-04 14:30,PST,30400,20.01
Mount Vernon,2020-02-04 14:45,PST,30400,19.99
Mount Vernon,2020-02-04 15:00,PST,30300,19.98
Mount Vernon,2020-02-04 15:15,PST,30200,19.95
Mount Vernon,2020-02-04 15:30,PST,30200,19.95
Mount Vernon,2020-02-04 15:45,PST,30100,19.92
Mount Vernon,2020-02-04 16:00,PST,30100,19.9
Mount Vernon,2020-02-04 16:15,PST,30000,19.89
Mount Vernon,2020-02-04 16:30,PST,29900,19.85
Mount Vernon,2020-02-04 16:45,PST,29900,19.86
Mount Vernon,2020-02-04 17:00,PST,29800,19.82
Mount Vernon,2020-02-04 17:15,PST,29700,19.8
Mount Vernon,2020-02-04 17:30,PST,29700,19.79
Mount Vernon,2020-02-04 17:45,PST,29700,19.79
Mount Vernon,2020-02-04 18:00,PST,29600,19.75
Mount Vernon,2020-02-04 18:15,PST,29600,19.76
Mount Vernon,2020-02-04 18:30,PST,29600,19.75
Mount Vernon,2020-02-04 18:45,PST,29500,19.74
Mount Vernon,2020-02-04 19:00,PST,29400,19.7
Mount Vernon,2020-02-04 19:15,PST,29400,19.69
Mount Vernon,2020-02-04 19:30,PST,29400,19.7
Mount Vernon,2020-02-04 19:45,PST,29300,19.67
Mount Vernon,2020-02-04 20:00,PST,29200,19.65
Mount Vernon,2020-02-04 20:15,PST,29200,19.65
Mount Vernon,2020-02-04 20:30,PST,29200,19.64
Mount Vernon,2020-02-04 20:45,PST,29200,19.64
Mount Vernon,2020-02-04 21:00,PST,29100,19.62
Mount Vernon,2020-02-04 21:15,PST,29200,19.63
Mount Vernon,2020-02-04 21:30,PST,29100,19.62
Mount Vernon,2020-02-04 21:45,PST,29100,19.61
Mount Vernon,2020-02-04 22:00,PST,29100,19.62
Mount Vernon,2020-02-04 22:15,PST,29100,19.61
Mount Vernon,2020-02-04 22:30,PST,29000,19.58
Mount Vernon,2020-02-04 22:45,PST,29100,19.61
Mount Vernon,2020-02-04 23:00,PST,29100,19.6
Mount Vernon,2020-02-04 23:15,PST,29000,19.58
